place_name,country,image,fun_fact,distractors_easy,distractors_medium,distractors_hard
Monte Fuji,Japón,images/places/monte-fuji.jpg,"Es la montaña más alta de Japón y es un volcán que ahora está dormido.",Argentina | Egipto,India | Tailandia,China | Corea del Sur
Gran Buda de Kamakura,Japón,images/places/gran-buda-de-kamakura.jpg,"Es una estatua de bronce gigante de más de 700 años… ¡y está al aire libre!",Brasil | Nigeria,Vietnam | Malasia,Corea del Sur | Taiwán
Torii flotante de Itsukushima,Japón,images/places/torii-flotante-de-itsukushima.jpg,"Cuando sube la marea, esta puerta roja parece flotar sobre el agua.",México | Suecia,China | Tailandia,China | Corea del Sur
Acueducto de Segovia,España,images/places/acueducto-de-segovia.jpg,"Lo construyeron los romanos hace casi 2000 años ¡sin usar pegamento entre las piedras!",Japón | Canadá,Italia | Grecia,Portugal | Francia
Alhambra de Granada,España,images/places/alhambra-de-granada.jpg,"Es un palacio-fortaleza con patios, fuentes y jardines hechos por reyes árabes.",Brasil | India,Marruecos | Portugal,Portugal | Marruecos
Mezquita-Catedral de Córdoba,España,images/places/mezquita-catedral-de-cordoba.jpg,"Adentro tiene un bosque de cientos de arcos a rayas rojas y blancas.",Suecia | México,Francia | Italia,Italia | Portugal
Coliseo de Roma,Italia,images/places/coliseo-de-roma.jpg,"En este enorme estadio romano luchaban los gladiadores hace casi 2000 años.",Canadá | Japón,España | Grecia,Grecia | España
Torre inclinada de Pisa,Italia,images/places/torre-inclinada-de-pisa.jpg,"Se empezó a inclinar mientras la construían… ¡y nunca se cayó!",Brasil | India,Francia | España,Francia | España
Canales de Venecia,Italia,images/places/canales-de-venecia.jpg,"En esta ciudad las calles son de agua y la gente se mueve en barquitos.",Suecia | Tailandia,Grecia | España,Grecia | Francia
Torre Eiffel,Francia,images/places/torre-eiffel.jpg,"Está hecha de hierro y cuando se construyó era la torre más alta del mundo.",Brasil | Japón,España | Italia,Bélgica | Suiza
Mont Saint-Michel,Francia,images/places/mont-saint-michel.jpg,"Es un pueblo con una abadía sobre una isla que a veces queda rodeada de mar.",México | India,Reino Unido | Bélgica,Reino Unido | Bélgica
Arco del Triunfo,Francia,images/places/arco-del-triunfo.jpg,"Es un arco gigante construido para recordar a los soldados de Francia.",Argentina | Egipto,Italia | Alemania,Alemania | Bélgica
Castillo de Neuschwanstein,Alemania,images/places/castillo-de-neuschwanstein.jpg,"Este castillo de cuento inspiró al castillo de las películas de Disney.",Brasil | Japón,Austria | Suiza,Austria | Suiza
Puerta de Brandeburgo,Alemania,images/places/puerta-de-brandeburgo.jpg,"Es la puerta más famosa de Berlín y arriba tiene un carro tirado por caballos.",Argentina | India,Polonia | Bélgica,Austria | Polonia
Catedral de Colonia,Alemania,images/places/catedral-de-colonia.jpg,"Tardaron más de 600 años en terminar esta catedral altísima.",México | Tailandia,Francia | Austria,Bélgica | Austria
Parlamento de Budapest,Hungría,images/places/parlamento-de-budapest.jpg,"Es un palacio enorme a la orilla del río Danubio con muchísimas torres.",Brasil | Japón,Polonia | Rumania,Austria | Eslovaquia
Bastión de los Pescadores,Hungría,images/places/bastion-de-los-pescadores.jpg,"Sus torres blancas parecen sacadas de un cuento de hadas.",México | India,Austria | República Checa,Rumania | Eslovaquia
