place_name,country,search_query,fun_fact
Monte Fuji,Japón,Mount Fuji Japan,"Es la montaña más alta de Japón y es un volcán que ahora está dormido."
Gran Buda de Kamakura,Japón,Great Buddha Kamakura,"Es una estatua de bronce gigante de más de 700 años… ¡y está al aire libre!"
Torii flotante de Itsukushima,Japón,Itsukushima torii gate Miyajima,"Cuando sube la marea, esta puerta roja parece flotar sobre el agua."
Acueducto de Segovia,España,Segovia aqueduct Spain,"Lo construyeron los romanos hace casi 2000 años ¡sin usar pegamento entre las piedras!"
Alhambra de Granada,España,Alhambra Granada,"Es un palacio-fortaleza con patios, fuentes y jardines hechos por reyes árabes."
Mezquita-Catedral de Córdoba,España,Mezquita Cordoba arches,"Adentro tiene un bosque de cientos de arcos a rayas rojas y blancas."
Coliseo de Roma,Italia,Colosseum Rome,"En este enorme estadio romano luchaban los gladiadores hace casi 2000 años."
Torre inclinada de Pisa,Italia,Leaning Tower of Pisa,"Se empezó a inclinar mientras la construían… ¡y nunca se cayó!"
Canales de Venecia,Italia,Venice canal gondola,"En esta ciudad las calles son de agua y la gente se mueve en barquitos."
Torre Eiffel,Francia,Eiffel Tower day Paris,"Está hecha de hierro y cuando se construyó era la torre más alta del mundo."
Mont Saint-Michel,Francia,Mont Saint-Michel France,"Es un pueblo con una abadía sobre una isla que a veces queda rodeada de mar."
Arco del Triunfo,Francia,Arc de Triomphe Paris day,"Es un arco gigante construido para recordar a los soldados de Francia."
Castillo de Neuschwanstein,Alemania,Neuschwanstein castle,"Este castillo de cuento inspiró al castillo de las películas de Disney."
Puerta de Brandeburgo,Alemania,Brandenburg Gate Berlin,"Es la puerta más famosa de Berlín y arriba tiene un carro tirado por caballos."
Catedral de Colonia,Alemania,Cologne Cathedral Germany,"Tardaron más de 600 años en terminar esta catedral altísima."
Parlamento de Budapest,Hungría,Hungarian Parliament Budapest,"Es un palacio enorme a la orilla del río Danubio con muchísimas torres."
Bastión de los Pescadores,Hungría,Fisherman's Bastion Budapest,"Sus torres blancas parecen sacadas de un cuento de hadas."
Puente de las Cadenas,Hungría,Chain Bridge Budapest,"Fue el primer puente que unió las dos partes de la ciudad, Buda y Pest."
Partenón,Grecia,Parthenon Acropolis Athens,"Este templo de columnas tiene casi 2500 años y está sobre una colina."
Santorini,Grecia,Santorini Oia white houses,"Sus casas blancas con techos azules están sobre acantilados frente al mar."
Monasterios de Meteora,Grecia,Meteora monasteries Greece,"Hay monasterios construidos en la punta de rocas altísimas."
Ait Benhaddou,Marruecos,Ait Benhaddou Morocco,"Es una ciudad de barro en el desierto que aparece en muchas películas."
Chefchaouen,Marruecos,Chefchaouen blue city Morocco,"Todas las casas de este pueblo están pintadas de azul."
Mezquita Koutoubia,Marruecos,Koutoubia mosque Marrakech,"Su torre se ve desde casi toda la ciudad de Marrakech."
Catedral de Santa Sofía de Kiev,Ucrania,Saint Sophia Cathedral Kyiv,"Tiene cúpulas doradas que brillan con el sol y casi 1000 años."
